,SAMA,FOUN,DONE,BANA,NGAB,SENO,FARA,KELA,SEL,FOUM,TNZK,NCHE,BOU,BOE,OSS,MUT,SAL,MAL,MIR,WAN,ASS,MOY
SAMA,,-0.018644457204222954,-0.020982564671192073,-0.013056790744544413,-0.003178211421386502,-0.015903840635522363,-0.028990545158372058,-0.015781834640729325,-0.01934873098016895,0.02311730004980639,0.0768596137143067,0.03652047179802731,0.14985281855713928,0.14054996249416463,0.13753733180835861,0.14734142872095934,0.15156576442981254,0.1415749831402563,0.16610504689425995,0.1563974294790957,0.1765818685629913,0.1807345672420331
FOUN,-0.018644457204222954,,-0.00483699815931276,-0.004123336194918826,0.024663310658305782,-0.007696304842672706,0.005486081421553943,-0.010550563934357238,-0.008788500868047897,0.03099149489535649,0.09317497143871555,0.04781507127216456,0.16646271151460507,0.15814531252261993,0.15595868122927312,0.16261805292116552,0.1693667880317198,0.15611795089352248,0.17872343171566107,0.16812752080055102,0.1848734875849502,0.19045200422134126
DONE,-0.020982564671192073,-0.00483699815931276,,-0.002955929777602613,0.006949086458872166,-0.0020230439372136756,-0.0016488391209274515,-0.0026088773314088213,-0.007087802532141857,0.029328897345968864,0.09660019691772731,0.04994987966460708,0.1682152867988782,0.16096212044058483,0.15895741329498175,0.16393786425983453,0.17167913847381236,0.1574691669747405,0.1807083156285586,0.17073454662703677,0.19317507336742998,0.1963187725519835
BANA,-0.013056790744544413,-0.004123336194918826,-0.002955929777602613,,0.027085205927104176,-0.0019088420716989775,0.00939109995202882,-0.0039282304865200955,-0.004357669236017969,0.017975043591509452,0.09173019603350409,0.04221806579436904,0.15759600628116244,0.15391004355671326,0.15246541687297094,0.15211543161303898,0.16276383977041473,0.14545971307260092,0.16596315041564574,0.15680595916823617,0.17849766537002856,0.18116326201632343
NGAB,-0.003178211421386502,0.024663310658305782,0.006949086458872166,0.027085205927104176,,0.0226629562144824,0.011246462921193077,0.026123269609067863,0.019867335997325642,0.07322364385369438,0.1349006420590425,0.090439393912726,0.2134443090737344,0.2034747130822003,0.20083601220999908,0.21022180505877344,0.2156155765659613,0.20351251447660207,0.2292803661140024,0.21918150923254903,0.2413236206022088,0.2454570795651824
SENO,-0.015903840635522363,-0.007696304842672706,-0.0020230439372136756,-0.0019088420716989775,0.0226629562144824,,0.005875296458956839,-0.006664796782819138,-0.007870743818500017,0.030854120485528828,0.09826497016272485,0.05143339860487138,0.17057463193963354,0.16363950951804335,0.16134031282121242,0.16704816813042833,0.1745628072253662,0.16059578993855964,0.18586056114392924,0.17524018973036007,0.19949563088011682,0.2023023398819413
FARA,-0.028990545158372058,0.005486081421553943,-0.0016488391209274515,0.00939109995202882,0.011246462921193077,0.005875296458956839,,0.006815430189079651,-0.0008263589949278848,0.04215941754838094,0.10221178872242094,0.06036836524382215,0.17659953639938306,0.16712310324212593,0.16442949611908234,0.1737904501547874,0.178761026479682,0.16768058430872335,0.19239415168215637,0.18254628604736894,0.20354324532756218,0.20749722117655847
KELA,-0.015781834640729325,-0.010550563934357238,-0.0026088773314088213,-0.0039282304865200955,0.026123269609067863,-0.006664796782819138,0.006815430189079651,,-0.007967267121137272,0.032119108801132334,0.09899268254527249,0.052358107445086996,0.17320975181900453,0.1654033086145074,0.1630749604541473,0.16920115905689637,0.17632699823664652,0.16259696861108403,0.18628747753126246,0.17576346156670736,0.19593647696942448,0.20053882013197874
SEL,-0.01934873098016895,-0.008788500868047897,-0.007087802532141857,-0.004357669236017969,0.019867335997325642,-0.007870743818500017,-0.0008263589949278848,-0.007967267121137272,,0.02292864538844501,0.08903815930389465,0.04265514793374011,0.16194770458463084,0.154095592649921,0.1518602626361341,0.15823088530469984,0.16508165579894588,0.15136713538997662,0.17536924733659065,0.16505856890673254,0.18712868087339116,0.19053440679225805
FOUM,0.02311730004980639,0.03099149489535649,0.029328897345968864,0.017975043591509452,0.07322364385369438,0.030854120485528828,0.04215941754838094,0.032119108801132334,0.02292864538844501,,0.10164571639153472,0.04459875129834721,0.1594292598303092,0.15990179912607183,0.15956308310057118,0.1516120928545571,0.16656814083960944,0.1442623477970333,0.16292512658963731,0.15498325563193902,0.18322679015955903,0.18153861936777002
