,SAMA,FOUN,DONE,BANA,NGAB,SENO,FARA,KELA,SEL,FOUM,TNZK,NCHE,BOU,BOE,OSS,MUT,SAL,MAL,MIR,WAN,ASS,MOY
SAMA,,0.00034309173775378565,0.0003108120875740471,0.00037661693921874247,0.0010967434083812766,0.00031547093807133517,0.0003053538908423478,0.0003409987008084175,0.0003168854551427132,0.0007803887563357614,0.0006208201935756617,0.0005942149823681726,0.0008927581989217536,0.0008149975852856974,0.000835320879767922,0.0009503542567826641,0.0008971308685401482,0.0009245331289726245,0.0010501898002509226,0.0010175742351274893,0.0011070108005096662,0.0010748595527767949
FOUN,0.00034309173775378565,,0.0002100960369523368,0.0001971574086086201,0.0011133470793456498,0.00019756992979192605,0.0002513776214177748,0.00021553196548623058,0.0002583483021506421,0.0005953944357997734,0.0006498984105137246,0.0005372746423633288,0.0008831959982954058,0.0008551504539801761,0.0008754779739330592,0.0008885509378163293,0.0009491497920060182,0.0008458133583046563,0.0009167136703911163,0.0009085543746134584,0.0011295882548561014,0.001032598134412639
DONE,0.0003108120875740471,0.0002100960369523368,,0.0001615548275205974,0.0008847178624333907,0.0001618119992093217,0.0001750514957080419,0.00018541759090938553,0.00017381193235783648,0.0004704795734490582,0.000584760110980628,0.0004497351719410429,0.0008396886284737314,0.0008114158095785924,0.000835953716535802,0.0008339881171123677,0.0008996248982176588,0.0007817182177679286,0.0008573054655218708,0.0008521123749989491,0.001117235245164184,0.0010070444968419013
BANA,0.00037661693921874247,0.0001971574086086201,0.0001615548275205974,,0.000983619666131557,0.00015636895853434523,0.0002795503727881677,0.00018141680816170094,0.00018087152108298805,0.0003481019924020231,0.0006185180483326945,0.0004919212498195483,0.0008750405130083702,0.0008403266502461183,0.0008648731478312983,0.0008533833724061508,0.0009481515604866542,0.00078269098854173,0.0008079553492099534,0.0008188843519143939,0.0011417133918414568,0.0010030895770850648
NGAB,0.0010967434083812766,0.0011133470793456498,0.0008847178624333907,0.000983619666131557,,0.0010338926838463001,0.0009195983611910588,0.0010897510328929665,0.0010082934724932682,0.001299216344017737,0.0012957054677271392,0.0012592693047061493,0.0014701908974396863,0.0014480962341630983,0.0014699293401389463,0.0015044028684766365,0.0014833444832675507,0.0014765349293644483,0.0015595200870032325,0.0015454858331933258,0.0016761762882548119,0.0016198931128128063
SENO,0.00031547093807133517,0.00019756992979192605,0.0001618119992093217,0.00015636895853434523,0.0010338926838463001,,0.0001863206051973487,0.00016596574313015858,0.000167591465286964,0.0005281627031282181,0.0005905517698873777,0.0004661682088713235,0.0008428146654004112,0.0008079010515022321,0.0008327426681544778,0.0008489498465572778,0.0009030349308484572,0.0008043409443141337,0.0008869799027239235,0.0008786317356518022,0.0011298624669964217,0.0010281678517138869
FARA,0.0003053538908423478,0.0002513776214177748,0.0001750514957080419,0.0002795503727881677,0.0009195983611910588,0.0001863206051973487,,0.00023384763571475875,0.00017794637602629472,0.0007203992790254755,0.0005472004546964716,0.0005138913669014552,0.0008337431052820031,0.0007615457058184762,0.0007801970998911468,0.0008861978402601176,0.0008497283921420993,0.0008648545804049742,0.0009913180663262853,0.0009631653306648382,0.0010799010442608277,0.0010427096123345944
KELA,0.0003409987008084175,0.00021553196548623058,0.00018541759090938553,0.00018141680816170094,0.0010897510328929665,0.00016596574313015858,0.00023384763571475875,,0.00023781255106877463,0.000592635639230586,0.0006482771069488341,0.0005388224150595269,0.0008884680919955218,0.0008554639310984021,0.000885771582551047,0.0009023573174270183,0.000953512682955968,0.0008529976001105977,0.000929073209488592,0.0009172658225013387,0.0011619964089935619,0.001059897962392851
SEL,0.0003168854551427132,0.0002583483021506421,0.00017381193235783648,0.00018087152108298805,0.0010082934724932682,0.000167591465286964,0.00017794637602629472,0.00023781255106877463,,0.000509086736041741,0.0005417454781910286,0.0004191122393775296,0.0008132194249986213,0.0007771142447677076,0.000796839292107832,0.0008199372397277809,0.0008673668044134921,0.0007740127517449547,0.0008598112196158392,0.0008512394683618278,0.0010825129161573094,0.0009890963811875775
FOUM,0.0007803887563357614,0.0005953944357997734,0.0004704795734490582,0.0003481019924020231,0.001299216344017737,0.0005281627031282181,0.0007203992790254755,0.000592635639230586,0.000509086736041741,,0.0005833420885744227,0.00042707364804524115,0.0008545739755043475,0.0007872100712382151,0.0007898915103759409,0.0008359235132959342,0.0009215780646308104,0.00076689761966899,0.0007933717649723977,0.000794370179226833,0.0011336779729913596,0.001004516273240452
